_record_id,name_history,name,ico,address,legal_form,region,date_start,date_end,activity1,activity2,account_sector,ownership,size,source_url
633,"",Miestne osvetové stredisko,00059447,"Čierna Voda 103,  925 06 Čierna Voda",Príspevková organizácia,Galanta,1987-02-01,2009-07-14,Prevádzka kultúrnych zariadení,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=232
634,"",Miestne kultúrne stredisko,00059480,"Dolné Saliby 355,  925 02 Dolné Saliby",Príspevková organizácia,Galanta,1987-02-01,2007-12-31,Prevádzka kultúrnych zariadení,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=233
635,"",Miestne osvetové stredisko,00059544,"Hrubý Šúr 222,  925 25 Hrubý Šúr",Príspevková organizácia,Senec,1987-02-01,2003-01-01,"",Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=234
636,"",Miestne kultúrne stredisko,00059552,"Školská 401/3,  925 23 Jelka",Príspevková organizácia,Galanta,1987-02-01,2003-03-20,"",Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,5-9 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=235
637,"",Miestne kultúrne stredisko,00059625,"Neded 574,  925 85 Neded",Príspevková organizácia,Šaľa,1987-02-01,"",Prevádzka kultúrnych zariadení,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,3-4 zamestnanci,http://www.statistics.sk/pls/wregis/detail?wxidorg=236
638,"",Miestne kultúrne stredisko,00059676,"Čsl. armády 913,  925 72 Selice",Príspevková organizácia,Šaľa,1987-02-01,2008-06-30,Prevádzka kultúrnych zariadení,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=237
639,"",Mestské kultúrne stredisko,00059692,"Fučíkova 973,  925 21 Sládkovičovo",0,Galanta,1985-01-01,2011-12-31,0,0,0,0,3,http://www.statistics.sk/pls/wregis/detail?wxidorg=238
640,"",Kultúrno-spoločenská organizácia mesta Šaľa,00059706,"SNP 16,  927 01 Šaľa",Príspevková organizácia,Šaľa,1985-01-01,2002-12-31,"",Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,25-49 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=239
641,"",Miestne kultúrne stredisko,00059773,"Trstice 472,  925 42 Trstice",Príspevková organizácia,Galanta,1985-01-01,"",Prevádzka kultúrnych zariadení,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,3-4 zamestnanci,http://www.statistics.sk/pls/wregis/detail?wxidorg=240
642,"",Miestne kultúrne stredisko,00059790,"Gáňska 139,  925 32 Veľká Mača",Príspevková organizácia,Galanta,1987-02-01,2003-04-01,"",Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,3-4 zamestnanci,http://www.statistics.sk/pls/wregis/detail?wxidorg=241
643,"",Miestne osvetové stredisko,00059854,",  946 17 Brestovec",Príspevková organizácia,Komárno,1987-11-01,1998-12-31,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=242
644,"",Miestne osvetové stredisko,00059862,"Hlavná 73,  946 02 Čalovec",Príspevková organizácia,Komárno,1987-11-01,1994-06-08,"",Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=243
645,"",Miestne kultúrne stredisko,00059889,"Školská 12,  946 57 Svätý Peter",Príspevková organizácia,Komárno,1985-06-01,2000-01-01,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,3-4 zamestnanci,http://www.statistics.sk/pls/wregis/detail?wxidorg=244
646,"",Miestne kultúrne stredisko,00059901,"Imeľ 507,  946 52 Imeľ",Príspevková organizácia,Komárno,1985-06-01,1999-07-01,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,3-4 zamestnanci,http://www.statistics.sk/pls/wregis/detail?wxidorg=245
647,"",Miestne kultúrne stredisko Nesvady,00059986,"Obchodná 21,  946 51 Nesvady",Príspevková organizácia,Komárno,1985-06-01,"",Prevádzka kultúrnych zariadení,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,3-4 zamestnanci,http://www.statistics.sk/pls/wregis/detail?wxidorg=246
648,"",Mestské kultúrne stredisko,00059994,"Hradná 1,  945 01 Komárno",Príspevková organizácia,Komárno,1985-06-01,"",Prevádzka kultúrnych zariadení,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,10-19 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=247
649,"",Miestne osvetové stredisko,00060062,"Tôň 118,  946 15 Tôň",Príspevková organizácia,Komárno,1987-11-01,1999-12-31,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,3-4 zamestnanci,http://www.statistics.sk/pls/wregis/detail?wxidorg=248
650,"",Miestne osvetové stredisko,00060089,"Hlavná 127,  946 21 Veľké Kosihy",Príspevková organizácia,Komárno,1987-11-01,1999-06-30,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,3-4 zamestnanci,http://www.statistics.sk/pls/wregis/detail?wxidorg=249
651,"",Miestne kultúrne stredisko,00060127,"Gábora Steinera 455,  946 12 Zlatná na Ostrove",Príspevková organizácia,Komárno,1985-06-01,2003-12-31,"",Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,3-4 zamestnanci,http://www.statistics.sk/pls/wregis/detail?wxidorg=250
652,"",Miestne osvetové stredisko,00060186,"Bory 83,  935 87 Bory",Príspevková organizácia,Levice,1985-05-01,2010-01-01,Podporné činnosti súvisiace so scénickým umením,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=251
653,"",Miestne osvetové stredisko,00060208,"Čajkov 210,  935 24 Čajkov",Príspevková organizácia,Levice,1985-06-01,1999-12-31,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=252
654,"",Miestne osvetové stredisko,00060429,"Jabloňovce 73,  935 06 Jabloňovce",Príspevková organizácia,Levice,1985-06-01,1997-06-20,"",Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=253
655,"",Miestne osvetové stredisko,00060437,"Jur nad Hronom 277,  935 57 Jur nad Hronom",Príspevková organizácia,Levice,1985-05-01,2001-01-27,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=254
656,"",Miestne kultúrne stredisko,00060453,"Dlhá 2,  935 32 Kalná nad Hronom",Príspevková organizácia,Levice,1985-05-01,2005-05-19,"",Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=255
657,"",Miestne osvetové stredisko,00060470,"Krškany 115,  935 01 Krškany",Príspevková organizácia,Levice,1985-05-01,1991-12-31,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=256
658,"",Mestské kultúrne stredisko Levice,00060526,"Sládkovičova 2,  934 01 Levice",Príspevková organizácia,Levice,1973-12-01,"",Prevádzka kultúrnych zariadení,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,25-49 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=257
659,"",Miestne osvetové stredisko,00060542,"Málaš 248,  935 67 Málaš",Príspevková organizácia,Levice,1985-05-01,2000-07-25,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=258
660,"",Miestne kultúrne stredisko,00060658,"Plášťovce 407,  935 82 Plášťovce",Príspevková organizácia,Levice,1985-05-01,2008-12-12,Podporné činnosti súvisiace so scénickým umením,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=259
661,"",Miestne osvetové stredisko,00060666,"Plavé Vozokany 115,  935 69 Plavé Vozokany",Príspevková organizácia,Levice,1985-05-01,2000-07-31,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=260
662,"",Miestne kultúrne stredisko,00060682,"Obchodná 1,  935 62 Pohronský Ruskov",Príspevková organizácia,Levice,1985-05-01,1999-03-26,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=261
663,"",Miestne kultúrne stredisko,00060763,"Nám. SNP 20,  935 26 Starý Tekov",Príspevková organizácia,Levice,1985-05-01,1992-12-23,Prevádzka kultúrnych zariadení,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=262
664,"",Mestské kultúrne stredisko,00060780,"SNP 48,  936 01 Šahy",Príspevková organizácia,Levice,1985-05-01,2003-08-31,"",Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,10-19 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=263
665,"",Miestne osvetové stredisko,00060810,"Tehla 88,  935 35 Tehla",Príspevková organizácia,Levice,1985-05-01,1999-03-19,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=264
666,"",Mestské kultúrne stredisko,00060861,"Nám. Odborárov 5,  935 21 Tlmače",Príspevková organizácia,Levice,1985-05-01,"",Prevádzka kultúrnych zariadení,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,3-4 zamestnanci,http://www.statistics.sk/pls/wregis/detail?wxidorg=265
667,"",Miestne osvetové stredisko,00060950,"Hontianska Vrbica ,  935 55 Zbrojníky",Príspevková organizácia,Levice,1985-05-01,2000-07-26,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=266
668,"",Mestské osvetové stredisko,00060968,"Mierová 40,  937 01 Želiezovce",Príspevková organizácia,Levice,1985-05-01,2003-01-01,"",Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,3-4 zamestnanci,http://www.statistics.sk/pls/wregis/detail?wxidorg=267
669,"",Miestne osvetové stredisko Žemberovce,00060976,"Majora Gondu 446/167,  935 02 Žemberovce",Príspevková organizácia,Levice,1985-05-01,2003-03-01,"",Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=268
670,"",Miestne kultúrne stredisko,00061034,"Beladice 167,  951 75 Beladice",Príspevková organizácia,Zlaté Moravce,1987-09-01,1999-10-25,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=269
671,"",Miestne osvetové stredisko,00061093,"Čeĺadice 279,  951 03 Čeľadice",Príspevková organizácia,Nitra,1987-09-01,1998-11-07,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=270
672,"",Miestne osvetové stredisko,00061115,"Čierne Kĺačany 66,  953 02 Čierne Kľačany",Príspevková organizácia,Zlaté Moravce,1987-09-01,2001-03-31,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,5-9 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=271
673,"",Miestne osvetové stredisko,00061140,",  951 02 Dolné Obdokovce",Príspevková organizácia,Nitra,1987-09-01,1991-12-31,"",Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=272
674,"",Miestne osvetové stredisko,00061191,"Hájske 1,  951 33 Hájske",Príspevková organizácia,Šaľa,1987-09-01,2004-12-31,"",Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=273
675,"",Miestne osvetové stredisko,00061310,"Jedĺové Kostoĺany 297,  951 96 Jedľové Kostoľany",Príspevková organizácia,Zlaté Moravce,1987-09-01,2001-03-31,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=274
676,"",Miestne osvetové stredisko,00061379,"Kostoľany pod Tribečom 71,  951 72 Kostoľany pod Tribečom",Príspevková organizácia,Zlaté Moravce,1987-09-01,1995-07-01,Prevádzka kultúrnych zariadení,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=275
677,"",Miestne osvetové stredisko,00061603,"Paňa 26,  952 01 Paňa",Príspevková organizácia,Nitra,1987-09-01,1991-04-30,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=276
678,"",Miestne osvetové stredisko,00061778,"Velčice 237,  951 71 Velčice",Príspevková organizácia,Zlaté Moravce,1987-09-01,1999-04-29,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=277
679,"",Miestne kultúrne stredisko,00061875,"Výčapy - Opatovce 204,  951 44 Výčapy - Opatovce",Príspevková organizácia,Nitra,1986-04-01,1999-01-01,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,5-9 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=278
680,"",Miestne kultúrne stredisko,00061883,"Zbehy 97,  951 42 Zbehy",Príspevková organizácia,Nitra,1986-04-01,2002-12-31,Podporné činnosti súvisiace so scénickým umením,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=279
681,"",Miestne kultúrne stredisko,00062201,"Maňa 7,  941 45 Maňa",Príspevková organizácia,Nové Zámky,1986-02-01,2003-06-18,"",Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=280
682,"",Osvetová beseda,00062391,"Trávnica 70,  941 46 Trávnica",Príspevková organizácia,Nové Zámky,1974-12-31,2000-01-01,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=281
683,"",Mestské kultúrne stredisko,00062448,"Hasičská 25,  943 01 Štúrovo",Príspevková organizácia,Nové Zámky,1974-12-31,"",Prevádzka kultúrnych zariadení,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,10-19 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=282
684,"",Družstevný klub,00062537,"Bukovec 12,  906 14 Bukovec",Príspevková organizácia,Myjava,1987-11-26,1992-01-01,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=283
685,"",Miestne osvetové stredisko,00062669,"Štefánikovo nám. 608,  908 48 Kopčany",Príspevková organizácia,Skalica,1985-11-30,2002-01-01,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,5-9 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=284
686,"",Miestne osvetové stredisko,00062766,"Malé Leváre 171,  908 74 Malé Leváre",Príspevková organizácia,Malacky,1987-11-26,1989-12-13,Prevádzka kultúrnych zariadení,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=285
687,"",Miestne kultúrne stredisko,00062782,"Moravský Svätý Ján 792,  908 71 Moravský Svätý Ján",Príspevková organizácia,Senica,1986-03-25,2001-01-01,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=286
688,"",Miestne osvetové stredisko,00062812,"KD - Petrova Ves 96,  908 44 Petrova Ves",Príspevková organizácia,Skalica,1986-03-25,2003-07-30,"",Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=287
689,"",Miestne osvetové stredisko,00062821,"Plavecké Podhradie 34,  906 36 Plavecké Podhradie",Príspevková organizácia,Malacky,1987-02-23,1990-11-24,Prevádzka kultúrnych zariadení,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=288
690,"",Miestne osvetové stredisko,00062928,"Prievaly 188,  906 34 Prievaly",Príspevková organizácia,Senica,1987-02-23,2009-06-18,Podporné činnosti súvisiace so scénickým umením,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=289
691,"",Družstevný klub,00063045,"Sobotište 293,  906 05 Sobotište",Príspevková organizácia,Senica,1987-11-27,1993-12-31,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,3-4 zamestnanci,http://www.statistics.sk/pls/wregis/detail?wxidorg=290
692,"",Miestne kultúrne stredisko,00063053,"Sološnica 504,  906 37 Sološnica",Príspevková organizácia,Malacky,1987-02-23,2009-08-17,Prevádzka kultúrnych zariadení,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=291
693,"",Miestne osvetové stredisko,00063100,"Štefanov 339,  906 45 Štefanov",Príspevková organizácia,Senica,1987-11-01,1990-01-01,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=292
694,"",Roľnícke družstvo Majdan Litmanová,00064378,"Litmanová ,  065 31 Litmanová",Družstvo,Stará Ľubovňa,1979-06-01,"",Chov oviec a kôz,"Chov oviec, kôz, koní, oslov, mulov a mulíc",Súkromné nefinančné korporácie,Družstevné,10-19 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=293
695,"",Miestne osvetové stredisko,00064815,"Unín 333,  908 46 Unín",Príspevková organizácia,Skalica,1987-11-01,1999-02-19,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=294
696,"",Roľnícke družstvo Prameň so sídlom v Sulíne,00064823,"Sulín ,  065 46 Sulín",Družstvo,Stará Ľubovňa,1979-06-01,"",Chov ostatného dobytka a byvolov,"Chov hovädzieho dobytka, produkcia mlieka",Súkromné nefinančné korporácie,Družstevné,5-9 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=295
697,"",Centrum voľného času - Príroda,00065161,"Gorkého 3070/57,  075 01 Trebišov",0,Trebišov,1976-01-01,2013-08-31,0,0,0,0,20,http://www.statistics.sk/pls/wregis/detail?wxidorg=296
698,"",Družstevný klub,00065722,"Vrbovce 219,  906 06 Vrbovce",Príspevková organizácia,Myjava,1986-04-25,1999-07-01,"",Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=297
699,"",Miestne osvetové stredisko,00065803,",  976 63 Predajná",Príspevková organizácia,Brezno,1986-06-01,2000-12-13,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=298
700,2013-11-18: Poľnohospodárske družstvo Vranov-Hencovská,Poľnohospodárske družstvo Vranov - Hencovská,00067644,"Hencovce ,  093 02 Hencovce",0,Vranov nad Topľou,1979-07-01,"",0,0,0,0,25,http://www.statistics.sk/pls/wregis/detail?wxidorg=299
701,"",Miestne osvetové stredisko,00070343,"Blesovce 117,  956 01 Blesovce",Príspevková organizácia,Topoľčany,1985-06-01,2009-04-24,Prevádzka kultúrnych zariadení,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=300
702,"",Miestne osvetové stredisko,00072699,"Dežerice 193,  957 03 Dežerice",Príspevková organizácia,Bánovce nad Bebravou,1985-06-01,2009-07-03,Prevádzka kultúrnych zariadení,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=301
703,"",Ľudové bytové družstvo,00074241,"Kuzmányho 1,  915 01 Nové Mesto nad Váhom",Družstvo,Nové Mesto nad Váhom,1979-06-01,"",Prenájom a prevádzkovanie vlastných alebo prenajatých nehnuteľností,Prenájom vlastných nehnuteľností,Súkromné nefinančné korporácie,Družstevné,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=302
704,"",Miestne osvetové stredisko,00075248,"Dubnička 62,  957 03 Dubnička",Príspevková organizácia,Bánovce nad Bebravou,1985-07-01,"",Prevádzka kultúrnych zariadení,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=303
705,"",Obec Veľká Franková,00076597,"Veľká Franková 74,  059 78 Veľká Franková","Obec (obecný úrad), mesto (mestský úrad)",Kežmarok,1979-09-01,"",Všeobecná verejná správa,Všeobecná verejná správa,Miestna samospráva,Vlastníctvo územnej samosprávy,10-19 zamestnancov,http://www.statistics.sk/pls/wregis/detail?wxidorg=304
706,"",Miestne osvetové stredisko,00077020,"Hajná Nová Ves 76,  956 03 Hajná Nová Ves",Príspevková organizácia,Topoľčany,1985-06-01,2000-05-16,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=305
707,"",Miestne osvetové stredisko,00077046,"Veľké Držkovce 162,  956 54 Veľké Držkovce",Príspevková organizácia,Bánovce nad Bebravou,1985-01-25,2001-05-09,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=306
708,"",Miestne osvetové stredisko,00077062,"Horné Naštice 75,  956 41 Horné Naštice",Príspevková organizácia,Bánovce nad Bebravou,1985-06-01,1990-12-31,"",Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=307
709,"",Miestne osvetové stredisko,00077208,"Horné Štitáre 75,  956 03 Horné Štitáre",Príspevková organizácia,Topoľčany,1985-06-01,2004-12-31,"",Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=308
710,"",Miestne kultúrne stredisko,00077658,"Sovietskej armády 85,  956 19 Krnča",Príspevková organizácia,Topoľčany,1985-06-01,2003-02-22,"",Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,nezistený,http://www.statistics.sk/pls/wregis/detail?wxidorg=309
711,"",Miestne osvetové stredisko,00077666,"Krtovce 2,  956 03 Krtovce",Príspevková organizácia,Topoľčany,1985-06-01,2000-05-16,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Činnosti botanických a zoologických záhrad a prírodných rezervácií,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=310
712,"",Miestne osvetové stredisko,00077810,"Ľutov 26,  957 03 Ľutov",Príspevková organizácia,Bánovce nad Bebravou,1985-07-01,2009-01-01,Prevádzka kultúrnych zariadení,Činnosti kultúrnych a umeleckých zariadení,Miestna samospráva,Vlastníctvo územnej samosprávy,"",http://www.statistics.sk/pls/wregis/detail?wxidorg=311
